data\cghd_text\cghd_017854.png	4148
data\cghd_text\cghd_034366.png	220Ω
data\cghd_text\cghd_025695.png	5V
data\cghd_text\cghd_017989.png	4
data\cghd_text\cghd_001605.png	-
data\cghd_text\cghd_003599.png	10K
data\cghd_text\cghd_016720.png	28
data\cghd_text\cghd_032221.png	100Ω
data\cghd_text\cghd_024404.png	+
data\cghd_text\cghd_015814.png	14
data\cghd_text\cghd_013420.png	1
data\cghd_text\cghd_022382.png	1K
data\cghd_text\cghd_008624.png	5
data\cghd_text\cghd_026495.png	1kΩ
data\cghd_text\cghd_014134.png	7
data\cghd_text\cghd_019638.png	V-
data\cghd_text\cghd_020837.png	5
data\cghd_text\cghd_007274.png	10KΩ
data\cghd_text\cghd_019073.png	5
data\cghd_text\cghd_018927.png	10K
data\cghd_text\cghd_014307.png	22
data\cghd_text\cghd_026824.png	470nF
data\cghd_text\cghd_017663.png	14
data\cghd_text\cghd_022709.png	1k
data\cghd_text\cghd_030878.png	6
data\cghd_text\cghd_006950.png	7
data\cghd_text\cghd_024204.png	500Ω
data\cghd_text\cghd_026262.png	100K
data\cghd_text\cghd_034582.png	5K
data\cghd_text\cghd_022650.png	150nF
data\cghd_text\cghd_026013.png	A3
data\cghd_text\cghd_008139.png	15V
data\cghd_text\cghd_016379.png	8
data\cghd_text\cghd_000604.png	1KΩ
data\cghd_text\cghd_015184.png	3
data\cghd_text\cghd_007579.png	2
data\cghd_text\cghd_014702.png	31
data\cghd_text\cghd_019669.png	V+
data\cghd_text\cghd_001907.png	330K
data\cghd_text\cghd_014539.png	28
data\cghd_text\cghd_032402.png	100Ω
data\cghd_text\cghd_017226.png	8
data\cghd_text\cghd_013271.png	6
data\cghd_text\cghd_026603.png	100nF
data\cghd_text\cghd_003452.png	F2
data\cghd_text\cghd_014666.png	38
data\cghd_text\cghd_032777.png	8
data\cghd_text\cghd_017891.png	4
data\cghd_text\cghd_025160.png	1K
data\cghd_text\cghd_010627.png	+5V
data\cghd_text\cghd_032134.png	0V
data\cghd_text\cghd_024621.png	12n
data\cghd_text\cghd_027161.png	4
data\cghd_text\cghd_024553.png	15K
data\cghd_text\cghd_009716.png	-15V
data\cghd_text\cghd_033489.png	6
data\cghd_text\cghd_007326.png	1KΩ
data\cghd_text\cghd_026800.png	1KV
data\cghd_text\cghd_000452.png	A1.2
data\cghd_text\cghd_030033.png	14
data\cghd_text\cghd_034008.png	10K
data\cghd_text\cghd_027680.png	+9V
data\cghd_text\cghd_018905.png	F1
data\cghd_text\cghd_003250.png	20KΩ
data\cghd_text\cghd_011137.png	8
data\cghd_text\cghd_001972.png	+
data\cghd_text\cghd_025294.png	47K
data\cghd_text\cghd_023703.png	1K
data\cghd_text\cghd_015494.png	2
data\cghd_text\cghd_032026.png	1M
data\cghd_text\cghd_009701.png	240V
data\cghd_text\cghd_015646.png	33
data\cghd_text\cghd_005831.png	2
data\cghd_text\cghd_014031.png	32
data\cghd_text\cghd_023339.png	4
data\cghd_text\cghd_002198.png	8
data\cghd_text\cghd_002814.png	191 kΩ
data\cghd_text\cghd_004075.png	7
data\cghd_text\cghd_010810.png	5
data\cghd_text\cghd_003661.png	100n
data\cghd_text\cghd_014682.png	11
data\cghd_text\cghd_018641.png	100K
data\cghd_text\cghd_032609.png	+
data\cghd_text\cghd_027372.png	16V
data\cghd_text\cghd_016982.png	15
data\cghd_text\cghd_024172.png	270Ω
data\cghd_text\cghd_026548.png	100uF
data\cghd_text\cghd_029580.png	47K
data\cghd_text\cghd_006009.png	+
data\cghd_text\cghd_028543.png	3
data\cghd_text\cghd_007891.png	1
data\cghd_text\cghd_012154.png	9
data\cghd_text\cghd_002501.png	470
data\cghd_text\cghd_010042.png	12K
data\cghd_text\cghd_011325.png	6.8KΩ
data\cghd_text\cghd_001275.png	+
data\cghd_text\cghd_024575.png	V-
data\cghd_text\cghd_025218.png	0.75
data\cghd_text\cghd_023309.png	10
data\cghd_text\cghd_025615.png	100Ω
data\cghd_text\cghd_014996.png	1.5MΩ
data\cghd_text\cghd_026821.png	6.8nF
data\cghd_text\cghd_011600.png	470
data\cghd_text\cghd_022658.png	47nF
data\cghd_text\cghd_024716.png	+12V
data\cghd_text\cghd_001985.png	2
data\cghd_text\cghd_014674.png	22
data\cghd_text\cghd_001978.png	1000
data\cghd_text\cghd_006547.png	V
data\cghd_text\cghd_005962.png	18K
data\cghd_text\cghd_024722.png	+5V
data\cghd_text\cghd_012797.png	10
data\cghd_text\cghd_023399.png	1K
data\cghd_text\cghd_006084.png	68K
data\cghd_text\cghd_022195.png	50V
data\cghd_text\cghd_019223.png	4
data\cghd_text\cghd_000128.png	470K
data\cghd_text\cghd_007341.png	1KΩ
data\cghd_text\cghd_003128.png	11KΩ
data\cghd_text\cghd_030626.png	+
data\cghd_text\cghd_034763.png	A
data\cghd_text\cghd_018542.png	10K
data\cghd_text\cghd_027590.png	18K
data\cghd_text\cghd_000556.png	20KΩ
data\cghd_text\cghd_016372.png	33pF
data\cghd_text\cghd_030607.png	470Ω
data\cghd_text\cghd_012347.png	4
data\cghd_text\cghd_018832.png	10K
data\cghd_text\cghd_031854.png	4
data\cghd_text\cghd_022466.png	10K
data\cghd_text\cghd_025166.png	8
data\cghd_text\cghd_000839.png	1Ω
data\cghd_text\cghd_001593.png	2
data\cghd_text\cghd_002441.png	2300VA
data\cghd_text\cghd_020388.png	12V
data\cghd_text\cghd_001180.png	2
data\cghd_text\cghd_034648.png	4
data\cghd_text\cghd_012349.png	100kΩ
data\cghd_text\cghd_017827.png	K1
data\cghd_text\cghd_025406.png	10
data\cghd_text\cghd_022442.png	47pF
data\cghd_text\cghd_033783.png	10KΩ
data\cghd_text\cghd_031365.png	7812
data\cghd_text\cghd_030107.png	K1
data\cghd_text\cghd_006220.png	10K
data\cghd_text\cghd_016774.png	8
data\cghd_text\cghd_017584.png	14
data\cghd_text\cghd_027521.png	2.2uF
data\cghd_text\cghd_014298.png	39
data\cghd_text\cghd_013765.png	12
data\cghd_text\cghd_035426.png	+
data\cghd_text\cghd_007518.png	A3
data\cghd_text\cghd_025065.png	2
data\cghd_text\cghd_031730.png	200mH
data\cghd_text\cghd_033445.png	4
data\cghd_text\cghd_022784.png	470k
data\cghd_text\cghd_012825.png	2
data\cghd_text\cghd_026338.png	150K
data\cghd_text\cghd_021939.png	5
data\cghd_text\cghd_023614.png	47nF
data\cghd_text\cghd_012051.png	3.3KΩ
data\cghd_text\cghd_010761.png	23
data\cghd_text\cghd_006024.png	1K
data\cghd_text\cghd_020298.png	100K
data\cghd_text\cghd_025810.png	100Ω
data\cghd_text\cghd_031566.png	1A
data\cghd_text\cghd_028488.png	14
data\cghd_text\cghd_030126.png	4
data\cghd_text\cghd_003718.png	5
data\cghd_text\cghd_018924.png	55K
data\cghd_text\cghd_002600.png	22k
data\cghd_text\cghd_013613.png	2
data\cghd_text\cghd_006498.png	5
data\cghd_text\cghd_024337.png	4
data\cghd_text\cghd_030828.png	10nF
data\cghd_text\cghd_027582.png	1
data\cghd_text\cghd_022900.png	1K
data\cghd_text\cghd_031825.png	8
data\cghd_text\cghd_022593.png	22KΩ
data\cghd_text\cghd_021193.png	5
data\cghd_text\cghd_002497.png	400V
data\cghd_text\cghd_020809.png	16
data\cghd_text\cghd_001016.png	9-12V
data\cghd_text\cghd_020419.png	9V
data\cghd_text\cghd_019411.png	10K
data\cghd_text\cghd_014589.png	34
data\cghd_text\cghd_030190.png	6
data\cghd_text\cghd_018795.png	4
data\cghd_text\cghd_011764.png	1.5KΩ
data\cghd_text\cghd_000558.png	100pF
data\cghd_text\cghd_009492.png	7
data\cghd_text\cghd_007305.png	100KΩ
data\cghd_text\cghd_028009.png	2
data\cghd_text\cghd_009617.png	1M
data\cghd_text\cghd_003196.png	1-H-A
data\cghd_text\cghd_035252.png	2.2K
data\cghd_text\cghd_002816.png	50V
data\cghd_text\cghd_013222.png	13
data\cghd_text\cghd_030327.png	F2
data\cghd_text\cghd_006447.png	3
data\cghd_text\cghd_027267.png	4
data\cghd_text\cghd_005779.png	7
data\cghd_text\cghd_021358.png	5.6K
data\cghd_text\cghd_008269.png	28
data\cghd_text\cghd_006664.png	10K
data\cghd_text\cghd_008405.png	8
data\cghd_text\cghd_023107.png	100
data\cghd_text\cghd_002003.png	25V
data\cghd_text\cghd_011931.png	+
data\cghd_text\cghd_013736.png	33pF
data\cghd_text\cghd_027170.png	5
data\cghd_text\cghd_003127.png	4A
data\cghd_text\cghd_009596.png	100nF
data\cghd_text\cghd_016329.png	0
data\cghd_text\cghd_026216.png	380Ω
data\cghd_text\cghd_024539.png	12n
data\cghd_text\cghd_002752.png	10u
data\cghd_text\cghd_011374.png	6.8KΩ
data\cghd_text\cghd_010566.png	4.7M
data\cghd_text\cghd_012207.png	11
data\cghd_text\cghd_010392.png	+
data\cghd_text\cghd_002384.png	10Ω
data\cghd_text\cghd_022494.png	1K
data\cghd_text\cghd_008490.png	28
data\cghd_text\cghd_018994.png	16V
data\cghd_text\cghd_020768.png	33pF
data\cghd_text\cghd_005580.png	100K
data\cghd_text\cghd_022292.png	47pF
data\cghd_text\cghd_035178.png	50V
data\cghd_text\cghd_024763.png	V-
data\cghd_text\cghd_000898.png	9V
data\cghd_text\cghd_034552.png	12V
data\cghd_text\cghd_024684.png	7
data\cghd_text\cghd_010985.png	4
data\cghd_text\cghd_006256.png	6
data\cghd_text\cghd_018185.png	6
data\cghd_text\cghd_001029.png	+
data\cghd_text\cghd_026117.png	27K
data\cghd_text\cghd_002941.png	300Ω
data\cghd_text\cghd_000549.png	100pF
data\cghd_text\cghd_007640.png	1K
data\cghd_text\cghd_022448.png	390
data\cghd_text\cghd_000864.png	470Ω
data\cghd_text\cghd_006818.png	3
data\cghd_text\cghd_023499.png	4.7kΩ
data\cghd_text\cghd_026692.png	2
data\cghd_text\cghd_034019.png	.01
data\cghd_text\cghd_024396.png	+12V
data\cghd_text\cghd_001693.png	-3V
data\cghd_text\cghd_002238.png	7
data\cghd_text\cghd_022345.png	2.5K
data\cghd_text\cghd_029781.png	20
data\cghd_text\cghd_008810.png	12
data\cghd_text\cghd_030924.png	6
data\cghd_text\cghd_018654.png	1K
data\cghd_text\cghd_028528.png	+5V
data\cghd_text\cghd_016252.png	16
data\cghd_text\cghd_018282.png	14
data\cghd_text\cghd_000880.png	470Ω
data\cghd_text\cghd_009209.png	15
data\cghd_text\cghd_018583.png	15V
data\cghd_text\cghd_025418.png	13
data\cghd_text\cghd_023721.png	4k7
data\cghd_text\cghd_026840.png	15K
data\cghd_text\cghd_011773.png	47MΩ
data\cghd_text\cghd_004986.png	560
data\cghd_text\cghd_006406.png	2
data\cghd_text\cghd_008380.png	24
data\cghd_text\cghd_008717.png	10
data\cghd_text\cghd_009200.png	5
data\cghd_text\cghd_018808.png	62K
data\cghd_text\cghd_005132.png	220K
data\cghd_text\cghd_013762.png	7
data\cghd_text\cghd_026935.png	6
data\cghd_text\cghd_035388.png	1
data\cghd_text\cghd_013494.png	3
data\cghd_text\cghd_023247.png	6
data\cghd_text\cghd_015980.png	1
data\cghd_text\cghd_029133.png	8
data\cghd_text\cghd_015102.png	+5V
data\cghd_text\cghd_000507.png	80
data\cghd_text\cghd_027139.png	2
data\cghd_text\cghd_032142.png	1k
data\cghd_text\cghd_019943.png	6
data\cghd_text\cghd_006421.png	4
data\cghd_text\cghd_024824.png	+12V
data\cghd_text\cghd_013670.png	7
data\cghd_text\cghd_020655.png	10uF
data\cghd_text\cghd_009377.png	4.2K
data\cghd_text\cghd_018842.png	4
data\cghd_text\cghd_009969.png	3
data\cghd_text\cghd_035124.png	3.3K
data\cghd_text\cghd_013685.png	5
data\cghd_text\cghd_011899.png	500Ω
data\cghd_text\cghd_008951.png	1K
data\cghd_text\cghd_005012.png	3.3K
data\cghd_text\cghd_031326.png	1M
data\cghd_text\cghd_024863.png	15K
data\cghd_text\cghd_008632.png	5
data\cghd_text\cghd_008473.png	9
data\cghd_text\cghd_010165.png	-
data\cghd_text\cghd_031398.png	10K
data\cghd_text\cghd_018428.png	820K
data\cghd_text\cghd_026558.png	560Ω
data\cghd_text\cghd_008614.png	5
data\cghd_text\cghd_035355.png	+9V
data\cghd_text\cghd_010334.png	+
data\cghd_text\cghd_005707.png	2
data\cghd_text\cghd_020712.png	6
data\cghd_text\cghd_011992.png	6
data\cghd_text\cghd_029938.png	K3.1
data\cghd_text\cghd_025654.png	5V
data\cghd_text\cghd_031270.png	4.7m
data\cghd_text\cghd_020174.png	11
data\cghd_text\cghd_028001.png	8
data\cghd_text\cghd_006173.png	3K3
data\cghd_text\cghd_021461.png	6
data\cghd_text\cghd_013911.png	9
data\cghd_text\cghd_010037.png	22V
data\cghd_text\cghd_011555.png	18K
data\cghd_text\cghd_029408.png	12K
data\cghd_text\cghd_033747.png	1
data\cghd_text\cghd_002724.png	10u
data\cghd_text\cghd_027201.png	5
data\cghd_text\cghd_030478.png	4
data\cghd_text\cghd_005808.png	5
data\cghd_text\cghd_027040.png	180
data\cghd_text\cghd_000069.png	1K
data\cghd_text\cghd_030104.png	3
data\cghd_text\cghd_017711.png	10K
data\cghd_text\cghd_023292.png	22k
data\cghd_text\cghd_008870.png	+5V
data\cghd_text\cghd_019923.png	5V
data\cghd_text\cghd_004972.png	4.7K
data\cghd_text\cghd_005954.png	+
data\cghd_text\cghd_011769.png	120KΩ
data\cghd_text\cghd_026790.png	560
data\cghd_text\cghd_025461.png	1Ω
data\cghd_text\cghd_029263.png	8Ω
data\cghd_text\cghd_010158.png	2
data\cghd_text\cghd_013516.png	2
data\cghd_text\cghd_028549.png	16V
data\cghd_text\cghd_003091.png	1.6KΩ
data\cghd_text\cghd_026697.png	10uF
data\cghd_text\cghd_019903.png	16
data\cghd_text\cghd_014969.png	7
data\cghd_text\cghd_034354.png	12-18V
data\cghd_text\cghd_016274.png	9
data\cghd_text\cghd_004630.png	1
data\cghd_text\cghd_026594.png	1
data\cghd_text\cghd_020392.png	68uH
data\cghd_text\cghd_019879.png	10M
data\cghd_text\cghd_025952.png	100nF
data\cghd_text\cghd_000930.png	V
data\cghd_text\cghd_032928.png	6
data\cghd_text\cghd_014321.png	17
data\cghd_text\cghd_002952.png	50V
data\cghd_text\cghd_033741.png	F1
data\cghd_text\cghd_010554.png	-12V
data\cghd_text\cghd_033403.png	4
data\cghd_text\cghd_020993.png	4
data\cghd_text\cghd_019317.png	3
data\cghd_text\cghd_001085.png	330
data\cghd_text\cghd_020251.png	9V
data\cghd_text\cghd_019182.png	7805
data\cghd_text\cghd_013481.png	2
data\cghd_text\cghd_026454.png	7
data\cghd_text\cghd_013646.png	12
data\cghd_text\cghd_019185.png	1.2H
data\cghd_text\cghd_012073.png	3.3KΩ
data\cghd_text\cghd_026506.png	1kΩ
data\cghd_text\cghd_000144.png	0.001uF
data\cghd_text\cghd_005991.png	10n
data\cghd_text\cghd_025597.png	330uF
data\cghd_text\cghd_005849.png	100K
data\cghd_text\cghd_014978.png	5
data\cghd_text\cghd_006995.png	10u
data\cghd_text\cghd_001839.png	2
data\cghd_text\cghd_003126.png	F1
data\cghd_text\cghd_017339.png	11
data\cghd_text\cghd_018195.png	10
data\cghd_text\cghd_030351.png	5
data\cghd_text\cghd_029504.png	0V
data\cghd_text\cghd_006768.png	10K
data\cghd_text\cghd_004976.png	3
data\cghd_text\cghd_000856.png	12V
data\cghd_text\cghd_022057.png	0.1uF
data\cghd_text\cghd_011264.png	4
data\cghd_text\cghd_008358.png	20
data\cghd_text\cghd_021079.png	2
data\cghd_text\cghd_018786.png	510
data\cghd_text\cghd_026239.png	10K
data\cghd_text\cghd_022701.png	1k
data\cghd_text\cghd_010213.png	22K
data\cghd_text\cghd_028776.png	9V
data\cghd_text\cghd_008459.png	A0
data\cghd_text\cghd_013124.png	1
data\cghd_text\cghd_009464.png	V+
data\cghd_text\cghd_030956.png	-
data\cghd_text\cghd_009115.png	13
data\cghd_text\cghd_002881.png	22nF
data\cghd_text\cghd_019314.png	6
data\cghd_text\cghd_031493.png	470K
data\cghd_text\cghd_021488.png	2
data\cghd_text\cghd_006976.png	10n
data\cghd_text\cghd_027629.png	12
data\cghd_text\cghd_000577.png	1nF
data\cghd_text\cghd_014681.png	10
data\cghd_text\cghd_017171.png	15pF
data\cghd_text\cghd_011607.png	470
data\cghd_text\cghd_008749.png	8
data\cghd_text\cghd_029666.png	11
data\cghd_text\cghd_001456.png	100K
data\cghd_text\cghd_032953.png	4
data\cghd_text\cghd_031171.png	+12V
data\cghd_text\cghd_028807.png	4
data\cghd_text\cghd_016314.png	36
data\cghd_text\cghd_000224.png	10K
data\cghd_text\cghd_014781.png	17
data\cghd_text\cghd_033189.png	6
data\cghd_text\cghd_003015.png	10nF
data\cghd_text\cghd_009397.png	+40 V
data\cghd_text\cghd_029026.png	+
data\cghd_text\cghd_032288.png	9V
data\cghd_text\cghd_007290.png	368pF
data\cghd_text\cghd_029482.png	3
data\cghd_text\cghd_011196.png	10k
data\cghd_text\cghd_001033.png	-
data\cghd_text\cghd_027468.png	1.8K
data\cghd_text\cghd_005893.png	9V
data\cghd_text\cghd_025520.png	+3.7V
data\cghd_text\cghd_002342.png	5Ω
data\cghd_text\cghd_003745.png	10K
data\cghd_text\cghd_020714.png	33pF
data\cghd_text\cghd_018790.png	2
data\cghd_text\cghd_008056.png	27Ω
data\cghd_text\cghd_031719.png	220K
data\cghd_text\cghd_002414.png	100nF
data\cghd_text\cghd_032042.png	330
data\cghd_text\cghd_025562.png	+33V
data\cghd_text\cghd_000308.png	V1
data\cghd_text\cghd_017831.png	3
data\cghd_text\cghd_010005.png	+
data\cghd_text\cghd_007276.png	22.5V
data\cghd_text\cghd_001316.png	6
data\cghd_text\cghd_013571.png	17
data\cghd_text\cghd_031896.png	6V
data\cghd_text\cghd_034989.png	10
data\cghd_text\cghd_001798.png	3
data\cghd_text\cghd_009370.png	1nF
data\cghd_text\cghd_029775.png	13
data\cghd_text\cghd_007990.png	1.5Ω
data\cghd_text\cghd_007928.png	12K
data\cghd_text\cghd_006271.png	3K3
data\cghd_text\cghd_021042.png	8
data\cghd_text\cghd_010460.png	-
data\cghd_text\cghd_031608.png	135V
data\cghd_text\cghd_018362.png	47nF
data\cghd_text\cghd_024100.png	K3
data\cghd_text\cghd_020820.png	4.7K
data\cghd_text\cghd_032346.png	220Ω
data\cghd_text\cghd_030273.png	A2
data\cghd_text\cghd_020168.png	100nF
data\cghd_text\cghd_015343.png	+3.3V
data\cghd_text\cghd_022684.png	10k
data\cghd_text\cghd_012022.png	10KΩ
data\cghd_text\cghd_001473.png	+
data\cghd_text\cghd_028270.png	7400
data\cghd_text\cghd_027749.png	100k
data\cghd_text\cghd_018406.png	9
data\cghd_text\cghd_006878.png	4M7
data\cghd_text\cghd_021643.png	3
data\cghd_text\cghd_019227.png	12
data\cghd_text\cghd_005228.png	V1
data\cghd_text\cghd_012444.png	100KΩ
data\cghd_text\cghd_012786.png	12
data\cghd_text\cghd_029995.png	V2
data\cghd_text\cghd_004614.png	100nF
data\cghd_text\cghd_003771.png	1
data\cghd_text\cghd_011864.png	200KΩ
data\cghd_text\cghd_003460.png	2A
data\cghd_text\cghd_030745.png	1
data\cghd_text\cghd_011272.png	1
data\cghd_text\cghd_011799.png	10Ω
data\cghd_text\cghd_032133.png	25V
data\cghd_text\cghd_005049.png	12V
data\cghd_text\cghd_027894.png	1
data\cghd_text\cghd_026015.png	A2
data\cghd_text\cghd_012624.png	1kΩ
data\cghd_text\cghd_021305.png	1
data\cghd_text\cghd_005984.png	100n
data\cghd_text\cghd_003685.png	14
data\cghd_text\cghd_030504.png	4
data\cghd_text\cghd_011935.png	5.6nF
data\cghd_text\cghd_010497.png	5K
data\cghd_text\cghd_012758.png	7
data\cghd_text\cghd_030280.png	3
data\cghd_text\cghd_012599.png	6
data\cghd_text\cghd_034267.png	1
data\cghd_text\cghd_008400.png	26
data\cghd_text\cghd_034777.png	1.5K
data\cghd_text\cghd_007172.png	270K
data\cghd_text\cghd_030464.png	A1
data\cghd_text\cghd_028413.png	+5V
data\cghd_text\cghd_015637.png	6
data\cghd_text\cghd_009211.png	17
data\cghd_text\cghd_030863.png	10nF
data\cghd_text\cghd_004634.png	38V
data\cghd_text\cghd_031903.png	12K
data\cghd_text\cghd_019993.png	12
data\cghd_text\cghd_025772.png	100nF
data\cghd_text\cghd_030523.png	1
data\cghd_text\cghd_018389.png	1
data\cghd_text\cghd_035222.png	2.2K
data\cghd_text\cghd_034408.png	15V
data\cghd_text\cghd_003556.png	555
data\cghd_text\cghd_014957.png	2.7Ω
data\cghd_text\cghd_029244.png	8Ω
data\cghd_text\cghd_025919.png	3V3
data\cghd_text\cghd_007809.png	2800
data\cghd_text\cghd_023282.png	2
data\cghd_text\cghd_031603.png	220K
data\cghd_text\cghd_014236.png	7
data\cghd_text\cghd_002710.png	10u
data\cghd_text\cghd_006093.png	1M
data\cghd_text\cghd_020052.png	100nF
data\cghd_text\cghd_023672.png	4k7
data\cghd_text\cghd_020595.png	230V
data\cghd_text\cghd_031930.png	6V
data\cghd_text\cghd_011373.png	100nF
data\cghd_text\cghd_025143.png	1000pF
data\cghd_text\cghd_010216.png	22K
data\cghd_text\cghd_021150.png	4
data\cghd_text\cghd_014064.png	6
data\cghd_text\cghd_015787.png	23
data\cghd_text\cghd_022623.png	270kΩ
data\cghd_text\cghd_009116.png	14
data\cghd_text\cghd_024632.png	+5V
data\cghd_text\cghd_032924.png	1KΩ
data\cghd_text\cghd_016903.png	15
data\cghd_text\cghd_018564.png	10n
data\cghd_text\cghd_022158.png	20K
data\cghd_text\cghd_012030.png	3.3KΩ
data\cghd_text\cghd_000773.png	480Ω
data\cghd_text\cghd_004551.png	1K
data\cghd_text\cghd_007781.png	22K
data\cghd_text\cghd_030728.png	5
data\cghd_text\cghd_023458.png	100nF
data\cghd_text\cghd_032611.png	100n
data\cghd_text\cghd_012622.png	7
data\cghd_text\cghd_035021.png	9
data\cghd_text\cghd_031415.png	4744
data\cghd_text\cghd_010987.png	5
data\cghd_text\cghd_003227.png	50V
data\cghd_text\cghd_000814.png	100Ω
data\cghd_text\cghd_016776.png	10K
data\cghd_text\cghd_017819.png	10K
data\cghd_text\cghd_028659.png	22K
data\cghd_text\cghd_028116.png	8
data\cghd_text\cghd_017618.png	6
data\cghd_text\cghd_024326.png	A
data\cghd_text\cghd_001677.png	K1
data\cghd_text\cghd_011111.png	8
data\cghd_text\cghd_027562.png	18K
data\cghd_text\cghd_028586.png	+5V
data\cghd_text\cghd_008594.png	+5V
data\cghd_text\cghd_034746.png	1.5K
data\cghd_text\cghd_003995.png	4700uF
data\cghd_text\cghd_030513.png	4
data\cghd_text\cghd_003569.png	100n
data\cghd_text\cghd_017428.png	2
data\cghd_text\cghd_017280.png	5
data\cghd_text\cghd_009453.png	3
data\cghd_text\cghd_003076.png	6.8Ω
data\cghd_text\cghd_018679.png	15K
data\cghd_text\cghd_030505.png	3
data\cghd_text\cghd_026819.png	5.6
data\cghd_text\cghd_009510.png	1
data\cghd_text\cghd_013985.png	13
data\cghd_text\cghd_024744.png	100n
data\cghd_text\cghd_005310.png	V9
data\cghd_text\cghd_031006.png	V1
data\cghd_text\cghd_011724.png	120Ω
data\cghd_text\cghd_035022.png	8
data\cghd_text\cghd_002175.png	1
data\cghd_text\cghd_008638.png	7
data\cghd_text\cghd_005888.png	100K
data\cghd_text\cghd_018623.png	0.1uF
data\cghd_text\cghd_001454.png	9V
data\cghd_text\cghd_014458.png	30pF
data\cghd_text\cghd_028154.png	1
data\cghd_text\cghd_023227.png	11
data\cghd_text\cghd_005040.png	1/24093
data\cghd_text\cghd_024491.png	V+
data\cghd_text\cghd_009712.png	7915
data\cghd_text\cghd_014531.png	32
data\cghd_text\cghd_001216.png	51
data\cghd_text\cghd_006097.png	+
data\cghd_text\cghd_023717.png	22k
data\cghd_text\cghd_008931.png	23
data\cghd_text\cghd_031327.png	2.2K
data\cghd_text\cghd_031674.png	4069
data\cghd_text\cghd_016876.png	A10
data\cghd_text\cghd_011014.png	11
data\cghd_text\cghd_027227.png	1
data\cghd_text\cghd_012734.png	5
data\cghd_text\cghd_034981.png	3
data\cghd_text\cghd_006709.png	2
data\cghd_text\cghd_023469.png	47kΩ
data\cghd_text\cghd_013654.png	9
data\cghd_text\cghd_003036.png	F1
